,Ammonizione,Assist,Assist da fermo,Autorete,Espulsione,Fantapunti,Goal,Goal subito,Malus,Modulo,Modulo applicato,Punti,Rigore parato,Rigore sbagliato,Rigore segnato,Risultato,Squadra
0,0,2,0,0,0,84.0,4,1,0,442,442,71.0,0,0,0,Vittoria,FC Elektrosila Skingrad
1,1,1,0,0,0,71.0,2,3,0,352,352,67.5,0,0,0,Sconfitta,Pro Sud Gradinata
2,0,2,1,0,0,82.0,3,0,0,442,442,70.0,0,0,0,Vittoria,Varese Primavera
3,3,1,0,0,0,74.5,2,1,0,451,451,70.0,0,0,0,Sconfitta,AC Vostra
4,0,1,0,0,0,79.5,2,1,0,433,433,70.5,0,0,1,Sconfitta,Civitanova Squidfishers
5,2,0,0,0,0,87.0,3,0,0,433,433,73.0,0,0,2,Vittoria,Bluefin FC
6,1,1,0,0,0,81.0,4,1,0,343,343,69.5,0,0,0,Vittoria,SS Condom
7,1,0,0,0,0,60.5,0,0,0,352,352,61.0,0,0,0,Sconfitta,FK Qarabaq
8,0,3,0,0,0,75.5,1,0,0,433,433,69.5,0,0,0,Sconfitta,Overflow FC
9,1,1,0,0,0,86.5,5,2,0,343,343,73.0,0,0,0,Vittoria,Sbronzi di Riace
10,2,0,0,0,0,59.5,0,1,0,442,442,58.5,0,0,1,Sconfitta,AC Vostra
11,0,0,0,0,0,78.5,2,0,0,433,433,69.5,0,0,1,Vittoria,Civitanova Squidfishers
12,3,0,0,1,0,67.0,1,0,0,433,433,65.5,0,0,1,Vittoria,FK Qarabaq
13,1,0,0,0,0,63.5,0,1,0,451,451,65.0,0,0,0,Sconfitta,FC Elektrosila Skingrad
14,1,1,0,0,0,70.0,0,2,0,343,343,68.5,0,0,1,Pareggio,Sbronzi di Riace
15,1,1,0,0,0,73.5,2,1,0,343,343,65.0,1,0,0,Pareggio,Varese Primavera
16,1,2,0,0,0,84.5,3,1,0,433,433,72.0,0,0,1,Pareggio,Bluefin FC
17,3,1,0,0,0,82.0,4,0,0,343,343,70.5,0,0,0,Pareggio,SS Condom
18,1,0,0,0,0,82.0,4,0,0,352,352,70.5,0,0,0,Vittoria,Pro Sud Gradinata
19,3,4,0,0,0,74.5,1,1,0,352,352,70.0,0,1,1,Sconfitta,Overflow FC
20,0,3,0,0,0,86.0,4,0,0,433,433,71.0,0,0,0,Vittoria,FC Elektrosila Skingrad
21,0,2,1,0,0,81.5,2,0,0,433,433,69.5,0,0,1,Sconfitta,Bluefin FC
22,1,1,1,0,0,75.5,2,2,0,451,451,70.0,0,0,0,Pareggio,Civitanova Squidfishers
23,2,0,0,0,0,75.5,3,1,0,451,451,68.5,0,0,0,Pareggio,Varese Primavera
24,0,3,0,0,0,79.5,3,0,0,352,352,67.5,0,0,0,Vittoria,SS Condom
25,0,0,0,0,0,70.5,0,1,0,352,352,68.5,1,0,0,Sconfitta,AC Vostra
26,1,0,0,0,0,67.0,0,1,0,433,433,68.5,0,0,0,Pareggio,Pro Sud Gradinata
27,1,0,0,0,1,67.0,2,4,0,343,343,66.5,0,0,0,Pareggio,Sbronzi di Riace
28,2,2,0,0,0,72.0,1,2,0,442,442,70.0,0,0,0,Vittoria,Overflow FC
29,1,2,0,0,0,66.5,0,1,0,352,352,66.0,0,0,0,Sconfitta,FK Qarabaq
30,2,2,1,0,0,81.5,3,1,0,343,343,68.5,0,0,1,Vittoria,AC Vostra
31,0,0,0,0,0,73.5,1,1,0,352,352,68.5,0,0,1,Sconfitta,FC Elektrosila Skingrad
32,0,0,0,0,0,69.0,1,1,0,433,433,67.0,0,0,0,Sconfitta,Varese Primavera
33,1,0,0,0,0,84.5,6,2,0,343,343,69.0,0,0,0,Vittoria,SS Condom
34,2,2,0,0,0,73.0,1,0,0,343,343,69.0,0,0,0,Sconfitta,FK Qarabaq
35,2,0,0,0,0,75.0,2,2,0,343,343,69.0,0,0,1,Vittoria,Pro Sud Gradinata
36,1,1,1,0,0,70.0,1,2,0,343,343,67.5,0,0,0,Vittoria,Sbronzi di Riace
37,1,1,0,0,0,66.5,0,2,0,532,532,68.0,0,0,0,Sconfitta,Civitanova Squidfishers
38,2,2,0,0,0,88.0,2,1,0,433,433,73.0,0,0,3,Vittoria,Bluefin FC
39,0,0,0,0,0,78.5,3,0,0,352,352,69.5,0,0,0,Sconfitta,Overflow FC
40,2,1,0,0,0,71.5,1,0,0,451,451,68.5,0,0,0,Vittoria,FC Elektrosila Skingrad
41,0,0,0,0,0,66.5,1,2,0,451,451,65.5,0,0,0,Sconfitta,Varese Primavera
42,2,1,1,0,0,72.5,2,2,0,352,352,67.5,0,0,0,Pareggio,SS Condom
43,2,0,0,0,0,70.5,2,3,0,532,532,68.5,0,0,0,Pareggio,Civitanova Squidfishers
44,5,0,0,0,0,71.0,3,1,0,433,433,62.5,0,0,1,Sconfitta,FK Qarabaq
45,3,2,0,0,0,84.5,5,2,0,343,343,71.0,0,0,0,Vittoria,Sbronzi di Riace
46,0,0,0,0,0,73.5,1,0,0,352,352,67.5,0,0,1,Sconfitta,Pro Sud Gradinata
47,0,1,0,1,0,75.5,1,2,0,343,343,73.5,0,0,1,Vittoria,Bluefin FC
48,0,0,0,0,0,70.5,1,0,0,541,541,67.5,0,0,0,Sconfitta,Overflow FC
49,2,2,0,0,0,74.0,2,1,0,343,343,68.0,0,0,0,Vittoria,AC Vostra
50,0,0,2,0,0,78.5,1,1,0,343,343,68.5,1,0,1,Vittoria,AC Vostra
51,1,2,0,0,0,68.0,0,0,0,352,352,66.5,0,0,0,Sconfitta,Pro Sud Gradinata
52,0,0,0,0,0,77.5,2,0,0,343,343,68.5,0,0,1,Sconfitta,Varese Primavera
53,2,2,0,0,0,90.0,5,0,0,451,451,74.0,0,0,0,Vittoria,Overflow FC
54,3,0,1,0,0,70.0,0,0,0,541,541,70.5,0,0,0,Sconfitta,Civitanova Squidfishers
55,0,3,1,0,0,74.0,1,2,0,442,442,69.0,0,0,0,Vittoria,FC Elektrosila Skingrad
56,1,1,0,0,0,74.0,1,1,0,343,343,68.5,0,0,1,Vittoria,Sbronzi di Riace
57,0,0,1,0,0,67.0,0,2,0,352,352,68.0,0,0,0,Sconfitta,SS Condom
58,2,0,0,0,0,85.0,2,0,0,433,433,74.0,0,0,2,Vittoria,Bluefin FC
59,2,1,0,0,0,54.5,0,0,0,433,433,54.5,0,0,0,Sconfitta,FK Qarabaq
60,3,1,0,0,0,73.0,3,4,0,442,442,68.5,0,0,0,Vittoria,FC Elektrosila Skingrad
61,0,0,0,0,0,64.5,0,1,0,352,352,65.5,0,0,0,Sconfitta,SS Condom
62,0,0,0,0,0,83.5,5,0,0,343,343,68.5,0,0,0,Vittoria,FK Qarabaq
63,2,3,0,0,0,79.5,3,0,0,352,352,68.5,0,0,0,Sconfitta,AC Vostra
64,0,0,0,0,0,79.0,2,1,0,451,451,71.0,0,0,1,Pareggio,Bluefin FC
65,1,3,0,0,0,80.0,3,3,0,343,343,71.5,0,0,0,Pareggio,Sbronzi di Riace
66,1,2,0,0,0,81.5,3,1,0,343,343,69.0,0,0,1,Vittoria,Pro Sud Gradinata
67,0,1,0,0,0,67.0,1,3,0,343,343,66.0,0,0,0,Sconfitta,Varese Primavera
68,2,1,0,1,0,74.5,3,2,0,343,343,70.5,0,0,0,Vittoria,Overflow FC
69,1,4,0,0,0,73.0,0,1,0,352,352,70.5,0,0,0,Sconfitta,Civitanova Squidfishers
70,2,2,1,0,0,77.0,2,0,0,433,433,69.0,0,0,0,Sconfitta,AC Vostra
71,2,5,1,0,0,84.0,2,1,0,343,343,71.0,0,0,1,Vittoria,Bluefin FC
72,1,3,0,0,0,78.0,3,4,0,442,442,70.5,0,0,0,Vittoria,FC Elektrosila Skingrad
73,1,0,0,0,0,65.0,2,1,0,352,352,60.5,0,0,0,Sconfitta,Sbronzi di Riace
74,1,2,0,0,0,72.0,1,1,0,451,451,68.5,0,0,0,Sconfitta,Varese Primavera
75,1,1,0,0,0,78.0,3,0,0,352,352,68.5,0,0,0,Vittoria,FK Qarabaq
76,2,0,0,0,0,77.5,4,2,0,433,433,68.5,0,0,0,Vittoria,Civitanova Squidfishers
77,1,0,0,0,0,65.5,1,3,0,433,433,66.0,0,0,0,Sconfitta,Pro Sud Gradinata
78,2,0,0,0,0,76.5,2,0,0,343,343,68.5,0,0,1,Vittoria,SS Condom
79,0,0,0,0,0,66.5,0,1,0,442,442,67.5,0,0,0,Sconfitta,Overflow FC
80,1,1,0,0,0,76.5,3,2,0,343,343,69.0,0,0,0,Pareggio,FK Qarabaq
81,1,1,0,0,0,75.5,2,0,0,343,343,69.0,0,0,0,Pareggio,Civitanova Squidfishers
82,2,2,0,0,0,71.5,1,1,0,343,343,68.5,0,0,0,Vittoria,Sbronzi di Riace
83,1,0,0,0,0,69.5,1,1,0,352,352,68.0,0,0,0,Sconfitta,AC Vostra
84,1,1,0,0,0,70.5,1,0,0,343,343,67.0,0,0,0,Vittoria,Bluefin FC
85,1,1,0,0,0,64.5,0,0,0,451,451,64.0,0,0,0,Sconfitta,Varese Primavera
86,2,0,0,0,0,77.0,3,2,0,352,352,71.0,0,0,0,Sconfitta,Pro Sud Gradinata
87,1,2,0,0,0,83.5,4,1,0,352,352,71.0,0,0,0,Vittoria,SS Condom
88,0,1,0,0,0,75.0,2,0,0,541,541,68.0,0,0,0,Pareggio,Overflow FC
89,0,1,0,0,0,76.5,1,0,0,352,352,69.5,0,0,1,Pareggio,FC Elektrosila Skingrad
90,2,2,0,0,0,64.5,0,1,0,451,451,64.5,0,0,0,Sconfitta,AC Vostra
91,1,0,0,0,0,75.0,3,0,0,352,352,66.5,0,0,0,Vittoria,Varese Primavera
92,0,0,0,0,0,82.5,4,1,0,433,433,68.5,0,0,1,Vittoria,FK Qarabaq
93,1,1,0,0,0,76.5,3,3,0,343,343,70.0,0,0,0,Sconfitta,SS Condom
94,0,2,0,0,0,72.5,1,1,0,352,352,68.5,0,0,0,Vittoria,Sbronzi di Riace
