,Ammonizione casa,Ammonizione fuori casa,Assist casa,Assist da fermo casa,Assist da fermo fuori casa,Assist fuori casa,Autorete casa,Autorete fuori casa,Espulsione casa,Espulsione fuori casa,Fantapunti casa,Fantapunti fuori casa,Goal casa,Goal fuori casa,Goal subito casa,Goal subito fuori casa,Malus casa,Malus fuori casa,Modulo applicato casa,Modulo applicato fuori casa,Modulo casa,Modulo fuori casa,Punti casa,Punti fuori casa,Rigore parato casa,Rigore parato fuori casa,Rigore sbagliato casa,Rigore sbagliato fuori casa,Rigore segnato casa,Rigore segnato fuori casa,Risultato,Risultato casa,Risultato fuori casa,Squadra casa,Squadra fuori casa
0,3,2,0,0,0,1,1,0,0,0,77.0,69.0,3,1,0,0,0,0,3412,4321,3412,4321,69.5,66.0,0,0,0,0,1,0,3-1,Vittoria,Sconfitta,Club Atletico De San Martin De Tucuman,Pro Sud Gradinata
1,0,1,2,0,0,0,0,0,1,0,69.0,68.0,2,1,4,1,0,1,433,4312,433,4312,66.0,67.0,0,0,0,0,0,0,1-1,Pareggio,Pareggio,Hyrule's Chickens,Tutankhamon Rotoloni Cigni
2,1,1,0,0,0,1,0,0,0,0,70.5,66.0,1,0,0,1,0,1,343,4312,343,4312,68.0,67.0,0,0,0,0,0,0,2-1,Vittoria,Sconfitta,Bluefin FC,The Okan
3,0,1,2,0,0,1,0,0,0,1,77.5,64.5,2,0,0,0,0,0,442,4312,442,4312,69.5,65.0,0,0,0,0,0,0,3-0,Vittoria,Sconfitta,Civitanova Squidfishers,Club Atletico Luigi Cadorna Milano 1896
4,0,1,3,0,0,0,0,0,0,0,86.0,70.0,3,0,0,0,0,0,4312,433,4312,433,71.0,67.5,0,0,0,0,1,1,6-2,Vittoria,Sconfitta,S S Condom,Overflow FC
5,1,1,3,0,0,0,0,0,0,0,68.5,78.5,0,2,0,1,0,0,433,343,433,343,66.0,68.0,0,0,0,0,0,2,1-4,Sconfitta,Vittoria,Overflow FC,Bluefin FC
6,1,2,1,0,0,0,0,0,0,0,77.5,85.0,3,4,2,0,1,0,4312,442,4312,442,70.5,71.0,0,0,0,0,0,1,3-5,Sconfitta,Vittoria,Tutankhamon Rotoloni Cigni,Civitanova Squidfishers
7,1,3,0,0,0,1,0,0,0,0,69.0,76.0,1,3,0,1,0,0,433,4312,433,4312,66.5,68.5,0,0,0,0,0,0,1-3,Sconfitta,Vittoria,Pro Sud Gradinata,S S Condom
8,0,0,0,0,0,0,0,0,0,0,83.0,69.0,5,2,2,1,0,0,4312,3412,4312,3412,70.0,64.0,0,0,0,0,0,0,5-1,Vittoria,Sconfitta,Club Atletico Luigi Cadorna Milano 1896,Club Atletico De San Martin De Tucuman
9,1,4,3,0,0,1,0,0,0,0,69.0,67.5,1,1,2,1,0,0,433,4312,433,4312,65.5,66.5,0,0,0,0,0,0,1-1,Pareggio,Pareggio,The Okan,Hyrule's Chickens
10,4,0,2,0,0,2,0,0,0,0,69.5,77.0,1,2,1,0,0,0,3412,4312,3412,4312,67.5,69.0,0,0,0,0,0,0,1-3,Sconfitta,Vittoria,Club Atletico De San Martin De Tucuman,Tutankhamon Rotoloni Cigni
11,1,1,0,0,0,1,0,0,0,0,65.0,80.0,1,3,0,1,0,0,4312,433,4312,433,62.5,68.5,0,0,0,0,0,1,0-4,Sconfitta,Vittoria,Hyrule's Chickens,Overflow FC
12,1,0,0,0,0,0,0,0,0,0,69.5,71.0,2,2,2,1,0,0,4312,433,4312,433,66.0,66.0,0,0,0,0,0,0,1-2,Sconfitta,Vittoria,Club Atletico Luigi Cadorna Milano 1896,Pro Sud Gradinata
13,2,4,0,0,0,2,0,0,0,0,70.0,72.0,2,1,0,1,0,0,343,4312,343,4312,65.0,70.0,0,0,0,0,0,0,2-2,Pareggio,Pareggio,Bluefin FC,S S Condom
14,3,0,0,0,0,1,0,0,0,0,73.5,73.5,2,0,0,1,0,0,442,4411,442,4411,66.0,67.5,0,0,0,0,1,2,2-2,Pareggio,Pareggio,Civitanova Squidfishers,The Okan
15,0,1,1,0,0,2,0,0,0,0,62.0,72.0,0,2,2,1,1,0,343,442,343,442,63.5,68.5,0,0,0,1,0,0,0-2,Sconfitta,Vittoria,Overflow FC,Civitanova Squidfishers
16,0,0,0,0,1,2,0,0,0,1,91.0,68.5,6,2,0,4,0,0,433,4312,433,4312,73.0,64.5,0,0,0,0,0,0,7-1,Vittoria,Sconfitta,Tutankhamon Rotoloni Cigni,Club Atletico Luigi Cadorna Milano 1896
17,0,0,0,0,0,0,0,0,0,0,65.0,65.0,0,0,0,0,0,0,4321,442,4321,442,65.0,65.0,0,0,0,0,0,0,0-0,Pareggio,Pareggio,Pro Sud Gradinata,Bluefin FC
18,1,3,1,0,0,2,0,0,0,0,72.0,72.0,2,1,0,1,0,0,4411,3412,4411,3412,65.5,69.5,0,1,0,1,0,0,2-2,Pareggio,Pareggio,The Okan,Club Atletico De San Martin De Tucuman
19,2,3,1,0,0,1,0,0,0,0,74.5,69.0,2,2,1,2,0,0,4312,4312,4312,4312,66.5,65.5,0,0,0,0,1,0,3-1,Vittoria,Sconfitta,S S Condom,Hyrule's Chickens
20,0,1,0,0,0,0,0,0,0,0,61.5,67.0,1,1,1,1,1,0,433,4321,433,4321,63.0,65.5,0,0,1,0,0,0,0-1,Sconfitta,Vittoria,Tutankhamon Rotoloni Cigni,Pro Sud Gradinata
21,1,1,2,0,0,0,0,0,0,0,72.0,78.0,2,4,2,0,0,1,3412,343,3412,343,66.5,67.0,0,0,0,0,0,0,2-4,Sconfitta,Vittoria,Club Atletico De San Martin De Tucuman,Overflow FC
22,1,2,0,1,0,2,0,0,0,0,77.0,69.0,3,0,2,2,0,0,442,343,442,343,66.5,67.0,0,0,0,0,1,1,3-1,Vittoria,Sconfitta,Hyrule's Chickens,Bluefin FC
23,2,1,1,0,0,0,0,0,1,0,72.5,64.0,2,0,2,1,1,1,352,442,352,442,67.0,66.0,0,0,0,0,1,0,2-0,Vittoria,Sconfitta,Club Atletico Luigi Cadorna Milano 1896,The Okan
24,1,2,1,0,0,0,0,0,0,0,68.0,69.0,0,1,0,2,0,0,442,4312,442,4312,67.5,63.0,0,1,0,0,0,1,1-1,Pareggio,Pareggio,Civitanova Squidfishers,S S Condom
25,2,2,0,0,0,1,0,0,0,0,80.0,70.5,3,2,0,2,0,0,343,352,343,352,69.0,66.5,0,0,0,0,1,0,4-2,Vittoria,Sconfitta,Overflow FC,Club Atletico Luigi Cadorna Milano 1896
26,1,0,0,0,0,2,1,0,0,0,69.0,64.5,2,0,2,3,0,0,4321,433,4321,433,68.5,65.5,0,0,0,0,0,0,1-0,Vittoria,Sconfitta,Pro Sud Gradinata,Hyrule's Chickens
27,1,2,1,0,0,1,0,0,0,0,66.5,64.0,0,0,2,1,0,0,352,442,352,442,68.0,65.0,0,0,0,0,0,0,1-0,Vittoria,Sconfitta,Bluefin FC,Civitanova Squidfishers
28,4,0,0,0,0,0,0,0,0,0,72.0,58.5,3,0,2,0,0,1,442,433,442,433,67.0,62.0,0,0,0,1,0,0,2-0,Vittoria,Sconfitta,The Okan,Tutankhamon Rotoloni Cigni
29,2,0,0,1,0,0,0,0,0,0,73.5,64.0,1,0,3,1,1,0,4312,3421,4312,3421,68.0,65.0,0,0,0,0,2,0,2-0,Vittoria,Sconfitta,S S Condom,Club Atletico De San Martin De Tucuman
30,2,4,2,1,0,2,0,0,0,1,76.5,72.0,1,2,0,0,1,0,433,343,433,343,69.0,67.0,0,0,0,0,1,0,3-2,Vittoria,Sconfitta,Tutankhamon Rotoloni Cigni,Overflow FC
31,2,0,1,0,0,0,0,0,0,0,76.5,64.5,1,0,0,2,0,0,343,433,343,433,70.5,66.5,0,0,0,0,1,0,3-0,Vittoria,Sconfitta,Club Atletico De San Martin De Tucuman,Bluefin FC
32,1,1,0,1,0,0,1,0,0,0,67.0,77.5,2,2,1,0,0,1,4312,4312,4312,4312,64.5,69.5,0,0,0,0,0,1,1-3,Sconfitta,Vittoria,Club Atletico Luigi Cadorna Milano 1896,S S Condom
33,2,0,1,1,1,1,0,0,0,1,68.0,61.0,0,0,0,0,0,0,442,433,442,433,67.0,63.0,0,0,0,1,0,0,1-0,Vittoria,Sconfitta,Civitanova Squidfishers,Hyrule's Chickens
34,3,0,0,0,0,0,0,0,0,0,61.5,79.5,0,3,2,0,1,0,4321,4321,4321,4321,65.5,70.5,0,0,0,0,0,0,0-4,Sconfitta,Vittoria,The Okan,Pro Sud Gradinata
35,1,3,1,0,0,1,0,0,0,0,74.5,64.5,3,1,2,4,0,0,343,442,343,442,67.0,66.0,0,0,0,0,0,0,3-0,Vittoria,Sconfitta,Overflow FC,The Okan
36,0,3,1,0,0,1,0,0,0,0,61.0,75.0,1,2,1,0,0,0,433,3412,433,3412,58.0,66.5,0,0,0,0,0,1,0-3,Sconfitta,Vittoria,Hyrule's Chickens,Club Atletico De San Martin De Tucuman
37,2,2,0,0,0,0,0,0,0,0,79.0,65.5,4,1,1,3,0,0,433,4231,433,4231,69.0,66.5,0,0,0,0,0,0,4-0,Vittoria,Sconfitta,Bluefin FC,Club Atletico Luigi Cadorna Milano 1896
38,1,0,1,0,0,2,0,0,0,0,68.0,69.0,0,1,0,2,0,0,442,4321,442,4321,67.5,66.0,0,0,0,0,0,0,1-1,Pareggio,Pareggio,Civitanova Squidfishers,Pro Sud Gradinata
39,0,0,1,0,0,2,0,0,0,0,66.5,71.0,2,2,3,1,0,0,4312,433,4312,433,65.5,64.0,0,0,1,0,0,0,1-2,Sconfitta,Vittoria,S S Condom,Tutankhamon Rotoloni Cigni
40,1,0,1,0,0,3,0,0,0,0,70.0,73.0,1,1,1,0,0,0,433,433,433,433,67.5,67.0,0,0,0,0,0,0,2-2,Pareggio,Pareggio,Tutankhamon Rotoloni Cigni,Bluefin FC
41,3,1,1,0,0,1,0,0,0,0,59.0,84.5,0,5,2,0,0,0,3412,442,3412,442,61.5,69.0,0,0,0,0,0,0,0-5,Sconfitta,Vittoria,Club Atletico De San Martin De Tucuman,Civitanova Squidfishers
42,3,2,0,0,0,1,0,0,0,0,64.5,69.5,1,1,1,1,0,1,433,343,433,343,64.0,68.0,0,0,0,0,0,0,0-1,Sconfitta,Vittoria,Pro Sud Gradinata,Overflow FC
43,2,0,0,0,0,0,0,0,0,0,65.5,78.0,1,4,1,2,1,0,352,433,352,433,65.0,68.0,0,0,1,0,1,0,0-4,Sconfitta,Vittoria,Club Atletico Luigi Cadorna Milano 1896,Hyrule's Chickens
44,2,3,1,0,0,2,0,0,0,0,70.0,70.5,1,2,1,2,0,1,442,4312,442,4312,68.0,66.5,0,0,0,0,0,0,2-2,Pareggio,Pareggio,The Okan,S S Condom
45,2,1,1,0,0,0,0,0,0,0,65.0,64.0,0,0,0,1,0,1,343,4312,343,4312,65.0,66.0,0,0,0,0,0,0,0-0,Pareggio,Pareggio,Overflow FC,S S Condom
46,0,2,3,0,0,0,0,0,0,1,69.0,68.0,0,1,0,0,0,0,433,433,433,433,66.0,67.0,0,0,0,0,0,0,1-1,Pareggio,Pareggio,Tutankhamon Rotoloni Cigni,Hyrule's Chickens
47,2,1,0,0,0,3,0,0,0,0,72.0,73.5,2,2,1,4,0,0,433,3412,433,3412,68.0,69.0,0,0,0,0,0,0,2-2,Pareggio,Pareggio,Pro Sud Gradinata,Club Atletico De San Martin De Tucuman
48,1,1,1,0,0,0,0,0,0,0,73.0,67.5,2,1,1,2,0,0,352,442,352,442,67.5,67.0,0,0,0,0,0,0,2-1,Vittoria,Sconfitta,Club Atletico Luigi Cadorna Milano 1896,Civitanova Squidfishers
49,1,2,1,0,1,0,0,0,0,0,63.5,68.0,0,2,2,1,1,0,442,433,442,433,65.5,66.0,0,0,0,1,0,0,0-1,Sconfitta,Vittoria,The Okan,Bluefin FC
