,Ammonizione casa,Ammonizione fuori casa,Assist casa,Assist da fermo casa,Assist da fermo fuori casa,Assist fuori casa,Autorete casa,Autorete fuori casa,Espulsione casa,Espulsione fuori casa,Fantapunti casa,Fantapunti fuori casa,Goal casa,Goal fuori casa,Goal subito casa,Goal subito fuori casa,Malus casa,Malus fuori casa,Modulo applicato casa,Modulo applicato fuori casa,Modulo casa,Modulo fuori casa,Punti casa,Punti fuori casa,Rigore parato casa,Rigore parato fuori casa,Rigore sbagliato casa,Rigore sbagliato fuori casa,Rigore segnato casa,Rigore segnato fuori casa,Risultato,Risultato casa,Risultato fuori casa,Squadra casa,Squadra fuori casa
0,1,1,1,0,0,2,0,0,0,0,75.5,65.5,2,0,0,1,0,0,433,433,433,433,69.0,65.0,0,0,0,0,0,0,3-0,Vittoria,Sconfitta,Sbronzi di Riace,Sturmtruppen
1,2,0,2,0,0,1,0,0,0,0,81.0,74.0,2,1,0,0,0,0,4231,4231,4231,4231,71.0,70.0,0,0,0,0,1,0,4-3,Vittoria,Sconfitta,FC Electrosila Skingrad,AC Vostra
2,0,1,0,0,0,1,0,0,0,0,65.5,75.0,1,2,0,0,0,0,442,433,442,433,62.5,68.5,0,0,0,0,0,0,0-3,Sconfitta,Vittoria,Anti FC,Panino
3,2,1,0,0,0,1,0,0,0,0,67.5,60.5,0,0,0,4,0,1,352,4312,352,4312,65.5,64.5,0,0,0,0,1,0,1-0,Vittoria,Sconfitta,I Porci Comodi,Miracles Alley's Cats FC
4,2,0,0,0,0,0,1,0,0,0,63.5,74.5,1,2,0,1,0,0,442,352,442,352,64.5,69.5,0,0,0,0,0,0,0-3,Sconfitta,Vittoria,Atletico Agnelli FC,Varese Veterans
5,0,1,1,0,0,1,0,0,0,0,74.0,70.5,2,1,1,0,0,0,433,352,433,352,68.0,67.0,0,0,0,0,0,0,3-2,Vittoria,Sconfitta,Sturmtruppen,I Porci Comodi
6,3,1,1,0,0,0,0,0,0,0,73.5,83.0,2,5,1,0,0,0,4231,442,4231,442,69.0,68.5,0,0,0,0,0,0,2-5,Sconfitta,Vittoria,AC Vostra,Atletico Agnelli FC
7,0,1,2,0,0,1,0,0,0,0,81.5,81.5,2,4,2,0,0,0,442,433,442,433,69.5,69.0,0,0,0,0,2,0,4-4,Pareggio,Pareggio,Varese Veterans,Sbronzi di Riace
8,1,2,2,0,0,0,0,0,0,0,71.0,73.5,1,3,2,0,0,1,442,4231,442,4231,68.5,66.0,0,0,0,0,0,0,2-2,Pareggio,Pareggio,Panino,FC Electrosila Skingrad
9,1,1,1,0,0,2,0,0,0,0,75.5,66.0,2,0,1,1,3,0,433,343,433,343,68.5,65.5,0,0,0,0,1,0,3-1,Vittoria,Sconfitta,Miracles Alley's Cats FC,Anti FC
10,1,4,0,0,0,0,0,0,0,0,64.0,80.0,0,2,1,0,0,1,433,433,433,433,65.5,70.5,0,0,0,0,0,2,0-4,Sconfitta,Vittoria,Sturmtruppen,Miracles Alley's Cats FC
11,2,0,0,0,0,0,0,0,0,0,77.0,65.5,4,1,1,3,1,0,433,4231,433,4231,67.5,65.5,0,0,0,0,0,0,3-0,Vittoria,Sconfitta,Sbronzi di Riace,AC Vostra
12,1,0,1,0,0,2,0,0,0,0,69.5,70.5,0,1,0,0,0,0,4231,343,4231,343,66.0,65.5,0,0,0,0,1,0,1-2,Sconfitta,Vittoria,FC Electrosila Skingrad,Anti FC
13,0,3,2,0,0,2,0,0,0,0,80.0,73.5,0,2,0,1,0,0,352,442,352,442,69.0,68.0,0,0,0,0,3,0,4-2,Vittoria,Sconfitta,I Porci Comodi,Varese Veterans
14,1,1,0,0,0,1,0,0,0,0,68.0,66.5,1,1,1,2,0,0,433,442,433,442,66.5,65.0,0,0,0,0,0,0,1-1,Pareggio,Pareggio,Atletico Agnelli FC,Panino
15,0,1,0,0,1,0,0,0,0,0,68.5,59.5,0,0,1,1,0,0,4231,433,4231,433,66.5,63.0,1,0,0,1,0,0,1-0,Vittoria,Sconfitta,AC Vostra,I Porci Comodi
16,0,1,1,0,0,0,0,0,0,0,63.0,73.0,0,2,1,0,0,0,442,433,442,433,63.0,67.5,0,0,0,0,0,0,0-2,Sconfitta,Vittoria,Varese Veterans,Sturmtruppen
17,1,1,1,0,0,1,0,0,0,1,80.0,71.0,4,2,0,0,0,0,343,433,343,433,67.5,65.5,0,0,0,0,0,0,4-2,Vittoria,Sconfitta,Anti FC,Atletico Agnelli FC
18,1,1,2,0,0,2,0,0,0,0,74.0,73.5,1,2,0,2,0,0,433,433,433,433,69.5,68.0,0,0,0,0,0,0,3-2,Vittoria,Sconfitta,Panino,Sbronzi di Riace
19,1,2,0,0,1,2,0,0,0,0,52.5,84.5,0,4,2,2,0,1,433,442,433,442,58.0,70.0,0,0,1,0,0,1,0-5,Sconfitta,Vittoria,Miracles Alley's Cats FC,FC Electrosila Skingrad
20,2,1,0,0,0,1,0,0,0,0,65.5,69.5,1,2,1,2,0,0,433,4231,433,4231,64.5,65.0,0,0,0,0,0,0,0-1,Sconfitta,Vittoria,Sturmtruppen,AC Vostra
21,2,1,0,0,0,0,0,0,0,0,70.0,67.0,1,2,0,2,0,0,433,343,433,343,68.0,63.5,0,0,0,0,0,0,2-1,Vittoria,Sconfitta,Sbronzi di Riace,Anti FC
22,1,0,1,0,1,1,0,0,0,0,75.0,58.5,1,0,1,6,0,0,433,433,433,433,69.5,62.5,0,0,0,0,1,0,3-0,Vittoria,Sconfitta,Varese Veterans,Miracles Alley's Cats FC
23,1,0,0,0,0,1,0,0,0,0,75.5,69.0,3,1,0,2,0,0,433,433,433,433,67.0,67.0,0,0,0,0,0,0,3-1,Vittoria,Sconfitta,I Porci Comodi,Panino
24,2,4,2,0,0,0,0,0,0,0,63.5,62.0,1,0,1,4,0,0,343,343,343,343,63.5,62.0,0,0,1,0,0,2,0-0,Pareggio,Pareggio,Atletico Agnelli FC,FC Electrosila Skingrad
25,1,1,1,0,0,0,0,0,0,0,73.0,60.5,1,0,1,2,0,0,4231,433,4231,433,67.5,63.0,0,0,0,0,1,0,2-0,Vittoria,Sconfitta,AC Vostra,Varese Veterans
26,1,1,1,0,0,0,0,0,0,0,72.0,69.0,1,1,2,0,0,0,442,433,442,433,67.5,66.5,0,0,0,0,1,0,2-1,Vittoria,Sconfitta,FC Electrosila Skingrad,Sbronzi di Riace
27,1,4,0,0,0,0,0,0,0,0,67.5,70.5,2,2,2,1,0,0,343,352,343,352,64.0,64.5,0,0,0,0,0,1,1-2,Sconfitta,Vittoria,Anti FC,I Porci Comodi
28,2,3,1,0,0,0,0,0,0,0,68.5,76.0,1,3,2,2,0,0,442,433,442,433,67.5,70.5,0,0,0,0,0,0,1-3,Sconfitta,Vittoria,Panino,Sturmtruppen
29,2,0,0,1,0,1,0,1,0,0,61.5,62.5,0,1,3,2,0,0,433,352,433,352,64.5,66.5,0,0,0,1,0,0,0-0,Pareggio,Pareggio,Miracles Alley's Cats FC,Atletico Agnelli FC
30,0,2,1,0,0,1,0,0,0,1,65.5,66.0,0,1,2,2,0,0,433,343,433,343,66.5,66.0,0,0,0,0,0,0,0-1,Sconfitta,Vittoria,Sturmtruppen,Anti FC
31,1,2,0,1,1,0,0,0,1,0,67.0,67.5,0,0,0,0,0,0,433,442,433,442,67.5,67.5,0,0,0,0,0,0,1-1,Pareggio,Pareggio,Sbronzi di Riace,Atletico Agnelli FC
32,0,1,0,1,0,0,0,0,0,0,70.0,70.5,0,1,0,0,0,0,4231,433,4231,433,66.0,68.0,0,0,0,0,1,0,2-2,Pareggio,Pareggio,AC Vostra,Miracles Alley's Cats FC
33,0,2,1,0,1,0,0,0,0,0,71.5,70.5,1,1,0,0,0,0,442,433,442,433,67.5,67.5,0,0,0,0,0,0,2-2,Pareggio,Pareggio,Varese Veterans,Panino
34,2,1,2,0,0,1,0,0,0,0,66.5,72.5,0,2,0,0,0,0,4312,433,4312,433,65.5,66.0,0,0,0,1,0,1,1-2,Sconfitta,Vittoria,I Porci Comodi,FC Electrosila Skingrad
35,3,3,0,0,0,1,0,0,0,0,65.5,72.0,1,2,2,1,0,0,4312,433,4312,433,66.0,67.5,0,0,0,0,0,0,0-2,Sconfitta,Vittoria,Sbronzi di Riace,Miracles Alley's Cats FC
36,2,0,1,0,0,2,1,0,0,0,59.5,68.0,1,1,1,4,0,0,343,433,343,433,63.5,67.0,0,0,1,0,0,0,0-1,Sconfitta,Vittoria,FC Electrosila Skingrad,Sturmtruppen
37,1,0,0,0,0,1,0,0,0,0,62.5,63.0,2,3,1,4,0,0,343,442,343,442,58.0,57.0,0,0,0,0,0,0,0-0,Pareggio,Pareggio,Anti FC,Varese Veterans
38,0,2,4,0,0,0,0,0,0,0,72.0,77.0,0,3,1,0,0,0,442,4231,442,4231,69.0,69.0,0,0,0,0,0,0,2-3,Sconfitta,Vittoria,Panino,AC Vostra
39,1,1,0,0,0,1,0,0,0,0,65.5,73.0,1,2,2,0,0,0,442,352,442,352,65.0,66.5,0,0,0,1,0,1,0-2,Sconfitta,Vittoria,Atletico Agnelli FC,I Porci Comodi
40,0,2,0,0,0,2,0,0,0,0,67.5,69.5,1,0,1,1,0,0,433,442,433,442,65.5,66.5,0,0,0,0,0,1,1-1,Pareggio,Pareggio,Sturmtruppen,Atletico Agnelli FC
41,2,0,2,1,0,0,0,0,0,0,71.0,83.0,1,4,2,0,0,1,4231,343,4231,343,68.0,71.5,0,0,0,0,0,0,2-5,Sconfitta,Vittoria,AC Vostra,Anti FC
42,3,2,0,0,0,3,0,0,0,0,64.0,68.0,1,1,2,0,0,0,442,343,442,343,64.5,63.0,0,0,0,0,0,0,0-1,Sconfitta,Vittoria,Varese Veterans,FC Electrosila Skingrad
43,2,0,0,0,0,2,0,0,0,0,68.0,77.0,2,3,2,1,0,0,433,352,433,352,65.0,67.0,0,0,0,0,0,0,1-3,Sconfitta,Vittoria,Miracles Alley's Cats FC,Panino
44,3,2,0,0,0,0,0,0,0,0,63.5,74.5,1,3,0,1,0,1,442,433,442,433,62.0,68.0,0,0,0,0,0,0,0-3,Sconfitta,Vittoria,I Porci Comodi,Sbronzi di Riace
