,Ammonizione,Assist,Assist da fermo,Autorete,Espulsione,Fantapunti,Goal,Goal subito,Malus,Modulo,Modulo applicato,Punti,Rigore parato,Rigore sbagliato,Rigore segnato,Risultato,Squadra
0,2,0,0,0,0,81.0,3,0,0,4312,4312,70.0,0,0,1,Vittoria,Club Atletico De San Martin De Tucuman
1,2,1,0,0,0,74.5,2,0,0,442,442,68.5,0,0,0,Sconfitta,Pro Sud Gradinata
2,0,2,0,0,1,75.0,2,0,0,4312,4312,68.0,0,0,0,Vittoria,Hyrule's Chickens
3,0,0,0,0,0,70.0,1,1,1,4411,4411,68.5,0,0,0,Sconfitta,Tutankhamon Rotoloni Cigni
4,2,0,0,0,0,72.0,1,0,0,4411,4411,70.0,0,0,0,Pareggio,Bluefin FC
5,2,1,0,0,0,73.0,1,1,0,4411,4411,71.0,0,0,0,Pareggio,The Okan
6,0,2,0,0,0,78.0,2,0,0,442,442,70.0,0,0,0,Vittoria,Civitanova Squidfishers
7,1,1,0,0,0,68.5,0,0,0,4312,4312,68.0,0,0,0,Sconfitta,Club Atletico Luigi Cadorna Milano 1896
8,1,5,0,0,0,90.0,3,0,0,4312,4312,73.5,0,0,1,Vittoria,S S Condom
9,0,0,0,0,0,75.5,1,0,0,4312,4312,69.5,0,0,1,Sconfitta,Overflow FC
10,1,3,0,0,0,73.0,1,0,0,4222,4222,67.5,0,0,0,Sconfitta,Overflow FC
11,0,1,0,0,0,85.5,3,1,0,4312,4312,70.5,0,0,2,Vittoria,Bluefin FC
12,1,2,0,0,0,79.5,3,2,0,343,343,71.0,0,0,0,Sconfitta,Tutankhamon Rotoloni Cigni
13,1,0,0,0,0,86.0,4,0,0,442,442,71.5,0,0,1,Vittoria,Civitanova Squidfishers
14,1,1,0,0,0,73.5,1,0,0,4411,4411,70.0,0,0,0,Sconfitta,Pro Sud Gradinata
15,3,1,0,0,0,76.5,3,1,0,4312,4312,69.0,0,0,0,Vittoria,S S Condom
16,0,0,0,0,0,83.5,5,2,0,4312,4312,70.5,0,0,0,Vittoria,Club Atletico Luigi Cadorna Milano 1896
17,0,0,0,0,0,79.0,4,1,0,3412,3412,68.0,0,0,0,Sconfitta,Club Atletico De San Martin De Tucuman
18,1,4,0,0,0,73.0,1,2,0,4411,4411,68.5,0,0,0,Sconfitta,The Okan
19,3,2,0,0,0,75.5,2,1,0,4222,4222,70.0,0,0,0,Vittoria,Hyrule's Chickens
20,2,2,0,0,0,72.0,1,1,0,4222,4222,69.0,0,0,0,Sconfitta,Club Atletico De San Martin De Tucuman
21,1,2,0,0,0,80.0,2,0,0,4411,4411,72.5,0,0,0,Vittoria,Tutankhamon Rotoloni Cigni
22,1,0,0,0,0,69.0,1,0,0,4222,4222,66.5,0,0,0,Sconfitta,Hyrule's Chickens
23,1,2,0,0,0,83.0,4,1,0,4222,4222,70.5,0,0,0,Vittoria,Overflow FC
24,1,0,0,0,0,75.5,2,2,0,3412,3412,69.0,0,0,1,Pareggio,Club Atletico Luigi Cadorna Milano 1896
25,0,0,0,0,0,76.5,3,1,0,3412,3412,68.5,0,0,0,Pareggio,Pro Sud Gradinata
26,2,0,0,0,0,71.5,2,0,0,4312,4312,66.5,0,0,0,Pareggio,Bluefin FC
27,4,2,0,0,0,72.0,1,1,0,4312,4312,70.0,0,0,0,Pareggio,S S Condom
28,2,0,0,0,0,77.0,2,0,0,352,352,69.0,0,0,1,Pareggio,Civitanova Squidfishers
29,0,1,0,0,0,77.0,0,1,0,352,352,71.0,0,0,2,Pareggio,The Okan
30,0,1,0,0,0,64.0,0,2,0,352,352,65.0,0,0,0,Sconfitta,Overflow FC
31,2,2,0,0,0,80.0,3,1,0,352,352,71.0,0,0,0,Vittoria,Civitanova Squidfishers
32,0,0,0,0,0,92.5,6,0,0,343,343,74.5,0,0,0,Vittoria,Tutankhamon Rotoloni Cigni
33,0,2,1,0,0,73.5,2,4,0,4222,4222,68.5,0,0,0,Sconfitta,Club Atletico Luigi Cadorna Milano 1896
34,0,1,0,0,0,68.0,0,0,0,4222,4222,67.0,0,0,0,Vittoria,Pro Sud Gradinata
35,0,0,0,0,0,65.5,0,0,0,4312,4312,65.5,0,0,0,Sconfitta,Bluefin FC
36,1,1,1,0,0,76.0,2,0,0,442,442,68.5,0,0,0,Pareggio,The Okan
37,2,2,0,0,0,77.5,1,1,0,3421,3421,71.5,1,0,0,Pareggio,Club Atletico De San Martin De Tucuman
38,1,2,0,0,0,79.5,2,0,0,3412,3412,69.0,0,0,1,Vittoria,S S Condom
39,2,1,0,0,0,72.0,2,2,0,4222,4222,68.0,0,0,0,Sconfitta,Hyrule's Chickens
40,0,0,0,0,0,69.0,1,1,0,343,343,67.0,0,0,0,Sconfitta,Tutankhamon Rotoloni Cigni
41,0,0,0,0,0,76.0,2,1,0,4411,4411,68.0,0,0,1,Vittoria,Pro Sud Gradinata
42,0,4,0,0,0,81.0,3,2,0,4222,4222,70.0,0,0,0,Pareggio,Club Atletico De San Martin De Tucuman
43,1,0,0,0,0,80.0,4,0,0,4222,4222,68.5,0,0,0,Pareggio,Overflow FC
44,1,0,2,0,0,89.0,5,2,0,4222,4222,71.5,0,0,1,Vittoria,Hyrule's Chickens
45,1,2,0,0,0,74.5,0,2,0,352,352,69.0,0,0,2,Sconfitta,Bluefin FC
46,2,1,0,0,0,77.0,2,2,1,352,352,70.5,0,0,1,Vittoria,Club Atletico Luigi Cadorna Milano 1896
47,0,0,0,0,0,66.0,0,1,1,352,352,67.5,0,0,0,Sconfitta,The Okan
48,2,1,0,0,0,72.5,0,0,0,4222,4222,69.5,0,0,1,Sconfitta,Civitanova Squidfishers
49,1,2,0,0,0,78.0,2,2,0,352,352,66.5,1,0,1,Vittoria,S S Condom
50,3,0,0,0,0,85.5,4,0,0,4411,4411,72.0,0,0,1,Vittoria,Overflow FC
51,2,2,0,0,0,78.0,3,2,0,4411,4411,70.0,0,0,0,Sconfitta,Club Atletico Luigi Cadorna Milano 1896
