,Ammonizione,Assist,Assist da fermo,Autorete,Espulsione,Fantapunti,Goal,Goal subito,Malus,Modulo,Modulo applicato,Punti,Rigore parato,Rigore sbagliato,Rigore segnato,Risultato,Squadra
0,0,2,0,0,1,85.0,4,0,0,4321,4321,72.0,0,0,0,Vittoria,Sbronzi di Riace
1,3,2,0,0,0,70.0,1,1,0,4222,4222,67.5,0,0,0,Sconfitta,Sturmtruppen
2,2,2,0,0,0,84.5,2,0,0,442,442,71.5,0,0,2,Vittoria,FC Electrosila Skingrad
3,0,1,0,0,0,74.5,1,0,0,4411,4411,70.5,0,0,0,Sconfitta,AC Vostra
4,0,0,0,0,0,66.5,1,0,0,433,433,63.5,0,0,0,Sconfitta,Anti FC
5,1,2,0,0,0,79.0,2,0,0,4411,4411,71.5,0,0,0,Vittoria,Panino
6,2,0,0,0,0,74.0,1,0,0,4312,4312,69.0,0,0,1,Vittoria,I Porci Comodi
7,0,2,0,0,0,68.0,1,4,1,4312,4312,67.5,0,0,0,Sconfitta,Miracles Alley's Cats FC
8,2,0,0,0,0,74.0,2,0,0,4411,4411,69.0,0,0,0,Pareggio,Atletico Agnelli FC
9,0,1,0,0,0,76.0,2,1,0,442,442,70.0,0,0,0,Pareggio,Varese Veterans
10,0,1,0,0,0,77.5,3,1,0,352,352,68.5,0,0,0,Vittoria,Sturmtruppen
11,0,1,0,0,0,72.5,1,0,0,4411,4411,68.5,0,0,0,Sconfitta,I Porci Comodi
12,1,1,0,0,0,82.5,4,1,0,3412,3412,71.0,0,0,0,Pareggio,AC Vostra
13,0,0,0,0,0,84.5,5,0,0,4312,4312,69.5,0,0,0,Pareggio,Atletico Agnelli FC
14,0,2,0,0,0,83.0,2,2,0,4222,4222,71.0,0,0,2,Pareggio,Varese Veterans
15,1,1,0,0,0,83.0,4,0,0,433,433,70.5,0,0,0,Pareggio,Sbronzi di Riace
16,1,2,0,0,0,72.5,1,2,0,4222,4222,70.0,0,0,0,Sconfitta,Panino
17,0,2,0,0,0,79.5,3,0,0,442,442,68.5,0,0,0,Vittoria,FC Electrosila Skingrad
18,1,1,0,0,0,76.5,2,1,3,343,343,69.5,0,0,1,Vittoria,Miracles Alley's Cats FC
19,1,2,0,0,0,68.5,0,1,0,4222,4222,68.0,0,0,0,Sconfitta,Anti FC
20,1,0,0,0,0,71.5,1,1,0,4222,4222,70.0,0,0,0,Sconfitta,Sturmtruppen
21,4,2,0,0,0,87.0,3,0,1,4222,4222,72.5,0,0,2,Vittoria,Miracles Alley's Cats FC
22,2,0,0,0,0,79.5,4,1,1,433,433,70.0,0,0,0,Vittoria,Sbronzi di Riace
23,0,0,0,0,0,67.5,1,3,0,4222,4222,67.5,0,0,0,Sconfitta,AC Vostra
24,1,1,0,0,0,72.5,0,1,0,4231,4231,67.0,1,0,1,Sconfitta,FC Electrosila Skingrad
25,0,2,0,0,0,74.0,1,0,0,352,352,69.0,0,0,0,Vittoria,Anti FC
26,1,2,0,0,0,85.0,1,0,0,4312,4312,71.5,0,0,3,Vittoria,I Porci Comodi
27,3,2,0,0,0,74.5,2,1,0,4312,4312,69.0,0,0,0,Sconfitta,Varese Veterans
28,2,0,0,0,0,73.0,2,1,0,4312,4312,69.0,0,0,0,Vittoria,Atletico Agnelli FC
29,1,1,0,0,0,68.0,1,2,0,3421,3421,66.5,0,0,0,Sconfitta,Panino
30,1,0,0,0,0,78.5,2,1,0,4222,4222,71.0,1,0,0,Vittoria,AC Vostra
31,1,1,1,0,0,68.5,0,1,0,3421,3421,68.0,0,0,0,Sconfitta,I Porci Comodi
32,0,3,0,0,0,72.5,1,1,0,3412,3412,67.5,0,0,0,Sconfitta,Varese Veterans
33,1,0,0,0,0,76.0,2,0,0,4222,4222,70.5,0,0,0,Vittoria,Sturmtruppen
34,0,1,0,0,0,82.0,4,0,0,4222,4222,69.0,0,0,0,Vittoria,Anti FC
35,3,1,0,0,0,74.5,2,0,0,3421,3421,69.0,0,0,0,Sconfitta,Atletico Agnelli FC
36,0,2,0,0,0,74.5,1,0,0,4222,4222,69.5,0,0,0,Pareggio,Panino
37,0,2,0,0,0,76.0,2,2,0,4222,4222,70.0,0,0,0,Pareggio,Sbronzi di Riace
38,1,0,0,0,0,56.5,0,2,0,4231,4231,59.0,0,0,0,Sconfitta,Miracles Alley's Cats FC
39,2,2,1,0,0,85.5,4,2,1,352,352,71.0,0,0,1,Vittoria,FC Electrosila Skingrad
40,1,0,0,0,0,72.5,1,1,0,4222,4222,68.0,0,0,1,Pareggio,Sturmtruppen
41,1,1,0,0,0,72.0,2,2,0,4312,4312,67.5,0,0,0,Pareggio,AC Vostra
42,2,0,0,0,0,83.0,4,0,0,4321,4321,72.0,0,0,0,Vittoria,Sbronzi di Riace
43,1,0,0,0,0,72.0,3,2,0,352,352,65.5,0,0,0,Sconfitta,Anti FC
44,0,1,0,0,0,76.0,1,1,0,352,352,70.0,0,0,1,Vittoria,Varese Veterans
45,1,2,1,0,0,62.5,0,0,0,343,343,60.0,0,0,0,Sconfitta,Miracles Alley's Cats FC
46,1,0,0,0,0,77.5,3,0,0,3421,3421,69.0,0,0,0,Sconfitta,I Porci Comodi
47,0,1,1,0,0,81.5,3,1,0,3421,3421,71.5,0,0,0,Vittoria,Panino
48,2,2,0,0,0,85.5,3,0,0,4411,4411,72.5,0,0,1,Vittoria,Atletico Agnelli FC
49,4,2,0,0,0,74.0,1,4,0,4222,4222,66.0,0,0,3,Sconfitta,FC Electrosila Skingrad
50,0,0,0,0,0,78.0,2,1,0,4312,4312,70.0,0,0,1,Vittoria,AC Vostra
51,0,0,0,0,0,62.5,0,2,0,4312,4312,64.5,0,0,0,Sconfitta,Varese Veterans
52,1,1,0,0,0,87.0,4,1,0,4312,4312,72.5,0,0,1,Vittoria,FC Electrosila Skingrad
53,1,0,0,0,0,78.0,3,0,0,4411,4411,69.5,0,0,0,Sconfitta,Sbronzi di Riace
54,1,1,0,0,0,74.5,3,2,0,4411,4411,67.0,0,0,0,Sconfitta,Anti FC
55,4,0,0,0,0,78.5,3,1,0,4231,4231,69.5,0,0,1,Vittoria,I Porci Comodi
56,2,2,0,0,0,79.0,1,1,0,4411,4411,73.0,1,0,0,Pareggio,Panino
57,2,0,0,0,0,78.0,3,2,0,4222,4222,72.0,0,0,0,Pareggio,Sturmtruppen
58,1,0,1,0,0,67.0,1,3,0,4222,4222,66.5,0,0,0,Sconfitta,Miracles Alley's Cats FC
59,1,1,0,0,0,75.0,2,1,0,352,352,69.5,0,0,0,Vittoria,Atletico Agnelli FC
60,1,1,0,0,0,73.5,2,2,0,4312,4312,69.0,0,0,0,Pareggio,Sturmtruppen
61,2,2,0,0,1,72.0,2,2,0,4411,4411,68.0,0,0,0,Pareggio,Anti FC
62,1,0,1,0,0,70.0,0,0,0,4321,4321,69.5,0,0,0,Sconfitta,Sbronzi di Riace
63,1,0,1,0,0,74.0,0,0,0,4222,4222,70.5,0,0,1,Vittoria,Atletico Agnelli FC
64,1,1,1,0,0,78.5,1,0,0,4312,4312,71.0,0,0,1,Vittoria,AC Vostra
65,1,1,0,0,0,76.0,2,0,0,4312,4312,69.5,0,0,0,Sconfitta,Miracles Alley's Cats FC
66,1,1,0,0,0,85.0,3,1,0,4222,4222,73.5,1,0,0,Pareggio,Varese Veterans
67,1,0,1,0,0,84.0,4,0,0,4231,4231,71.5,0,0,0,Pareggio,Panino
68,3,2,0,0,0,68.5,0,0,0,4222,4222,68.0,0,0,0,Sconfitta,I Porci Comodi
69,2,1,1,0,0,86.5,3,0,0,352,352,70.5,0,0,2,Vittoria,FC Electrosila Skingrad
70,2,0,0,0,0,66.0,1,2,0,4231,4231,66.0,0,0,0,Sconfitta,Sbronzi di Riace
71,2,2,0,0,0,78.5,3,1,0,343,343,69.5,0,0,0,Vittoria,Miracles Alley's Cats FC
72,1,1,0,0,0,67.0,1,1,0,4411,4411,64.5,0,0,0,Sconfitta,FC Electrosila Skingrad
73,0,3,0,0,0,74.0,2,4,0,4222,4222,69.0,0,0,0,Vittoria,Sturmtruppen
74,1,1,0,0,0,74.5,2,1,0,352,352,66.0,0,0,1,Pareggio,Anti FC
