,Ammonizione,Assist,Assist da fermo,Autorete,Espulsione,Fantapunti,Goal,Goal subito,Malus,Modulo,Modulo applicato,Punti,Rigore parato,Rigore sbagliato,Rigore segnato,Risultato,Squadra
0,2,0,0,0,0,69.5,3,0,0,4312,4312,58.5,0,0,1,Vittoria,Club Atletico De San Martin De Tucuman
1,2,1,0,0,0,41.5,1,0,0,442,442,38.5,0,0,0,Sconfitta,Pro Sud Gradinata
2,0,2,0,0,1,62.0,2,0,0,4312,4312,55.0,0,0,0,Vittoria,Hyrule's Chickens
3,0,0,0,0,0,51.5,1,1,1,4411,4411,50.0,0,0,0,Sconfitta,Tutankhamon Rotoloni Cigni
4,1,0,0,0,0,48.0,1,0,0,4411,4411,45.5,0,0,0,Pareggio,Bluefin FC
5,1,1,0,0,0,44.5,0,1,0,4411,4411,45.0,0,0,0,Pareggio,The Okan
6,0,2,0,0,0,71.5,2,0,0,442,442,63.5,0,0,0,Vittoria,Civitanova Squidfishers
7,1,1,0,0,0,44.0,0,0,0,4312,4312,43.5,0,0,0,Sconfitta,Club Atletico Luigi Cadorna Milano 1896
8,0,3,0,0,0,69.5,3,0,0,4312,4312,54.5,0,0,1,Vittoria,S S Condom
9,0,0,0,0,0,59.5,0,0,0,4312,4312,56.5,0,0,1,Sconfitta,Overflow FC
10,1,3,0,0,0,63.5,0,0,0,4222,4222,61.0,0,0,0,Sconfitta,Overflow FC
11,0,0,0,0,0,63.0,2,1,0,4312,4312,52.0,0,0,2,Vittoria,Bluefin FC
12,1,1,0,0,0,59.5,3,2,0,343,343,52.0,0,0,0,Sconfitta,Tutankhamon Rotoloni Cigni
13,1,0,0,0,0,68.5,4,0,0,442,442,54.0,0,0,1,Vittoria,Civitanova Squidfishers
14,1,0,0,0,0,41.5,1,0,0,4411,4411,39.0,0,0,0,Sconfitta,Pro Sud Gradinata
15,3,1,0,0,0,65.0,3,1,0,4312,4312,57.5,0,0,0,Vittoria,S S Condom
16,0,0,0,0,0,65.5,5,2,0,4312,4312,52.5,0,0,0,Vittoria,Club Atletico Luigi Cadorna Milano 1896
17,0,0,0,0,0,47.0,2,1,0,3412,3412,42.0,0,0,0,Sconfitta,Club Atletico De San Martin De Tucuman
18,1,3,0,0,0,46.5,1,2,0,4411,4411,43.0,0,0,0,Sconfitta,The Okan
19,3,1,0,0,0,51.5,1,1,0,4222,4222,50.0,0,0,0,Vittoria,Hyrule's Chickens
20,1,2,0,0,0,36.0,1,1,0,4222,4222,32.5,0,0,0,Sconfitta,Club Atletico De San Martin De Tucuman
21,0,2,0,0,0,60.5,2,0,0,4411,4411,52.5,0,0,0,Vittoria,Tutankhamon Rotoloni Cigni
22,1,0,0,0,0,50.5,1,0,0,4222,4222,48.0,0,0,0,Sconfitta,Hyrule's Chickens
23,1,1,0,0,0,66.0,3,1,0,4222,4222,57.5,0,0,0,Vittoria,Overflow FC
24,1,0,0,0,0,47.0,2,2,0,3412,3412,43.5,0,0,0,Pareggio,Club Atletico Luigi Cadorna Milano 1896
25,0,0,0,0,0,55.0,2,1,0,3412,3412,50.0,0,0,0,Pareggio,Pro Sud Gradinata
26,1,0,0,0,0,55.0,2,0,0,4312,4312,49.5,0,0,0,Pareggio,Bluefin FC
27,3,2,0,0,0,66.0,1,1,0,4312,4312,63.5,0,0,0,Pareggio,S S Condom
28,1,0,0,0,0,58.0,2,0,0,352,352,49.5,0,0,1,Pareggio,Civitanova Squidfishers
29,0,1,0,0,0,51.5,0,1,0,352,352,45.5,0,0,2,Pareggio,The Okan
30,0,1,0,0,0,46.5,0,2,0,352,352,47.5,0,0,0,Sconfitta,Overflow FC
31,1,2,0,0,0,58.0,2,1,0,352,352,51.5,0,0,0,Vittoria,Civitanova Squidfishers
32,0,0,0,0,0,80.5,6,0,0,343,343,62.5,0,0,0,Vittoria,Tutankhamon Rotoloni Cigni
33,0,2,1,0,0,48.5,2,4,0,4222,4222,43.5,0,0,0,Sconfitta,Club Atletico Luigi Cadorna Milano 1896
34,0,0,0,0,0,54.5,0,0,0,4222,4222,54.5,0,0,0,Vittoria,Pro Sud Gradinata
35,0,0,0,0,0,54.5,0,0,0,4312,4312,54.5,0,0,0,Sconfitta,Bluefin FC
36,1,1,0,0,0,56.0,2,0,0,442,442,49.5,0,0,0,Pareggio,The Okan
37,2,2,0,0,0,53.0,1,1,0,3421,3421,47.0,1,0,0,Pareggio,Club Atletico De San Martin De Tucuman
38,1,1,0,0,0,59.5,2,0,0,3412,3412,50.0,0,0,1,Vittoria,S S Condom
39,2,1,0,0,0,54.0,2,2,0,4222,4222,50.0,0,0,0,Sconfitta,Hyrule's Chickens
40,0,0,0,0,0,43.5,1,1,0,343,343,41.5,0,0,0,Sconfitta,Tutankhamon Rotoloni Cigni
