,Ammonizione,Assist,Assist da fermo,Autorete,Espulsione,Fantapunti,Goal,Goal subito,Malus,Modulo,Modulo applicato,Punti,Rigore parato,Rigore sbagliato,Rigore segnato,Risultato,Squadra
0,3,0,0,1,0,77.0,3,0,0,3412,3412,69.5,0,0,1,Vittoria,Club Atletico De San Martin De Tucuman
1,2,1,0,0,0,69.0,1,0,0,4321,4321,66.0,0,0,0,Sconfitta,Pro Sud Gradinata
2,0,2,0,0,1,69.0,2,4,0,433,433,66.0,0,0,0,Pareggio,Hyrule's Chickens
3,1,0,0,0,0,68.0,1,1,1,4312,4312,67.0,0,0,0,Pareggio,Tutankhamon Rotoloni Cigni
4,1,0,0,0,0,70.5,1,0,0,343,343,68.0,0,0,0,Vittoria,Bluefin FC
5,1,1,0,0,0,66.0,0,1,1,4312,4312,67.0,0,0,0,Sconfitta,The Okan
6,0,2,0,0,0,77.5,2,0,0,442,442,69.5,0,0,0,Vittoria,Civitanova Squidfishers
7,1,1,0,0,1,64.5,0,0,0,4312,4312,65.0,0,0,0,Sconfitta,Club Atletico Luigi Cadorna Milano 1896
8,0,3,0,0,0,86.0,3,0,0,4312,4312,71.0,0,0,1,Vittoria,S S Condom
9,1,0,0,0,0,70.0,0,0,0,433,433,67.5,0,0,1,Sconfitta,Overflow FC
10,1,3,0,0,0,68.5,0,0,0,433,433,66.0,0,0,0,Sconfitta,Overflow FC
11,1,0,0,0,0,78.5,2,1,0,343,343,68.0,0,0,2,Vittoria,Bluefin FC
12,1,1,0,0,0,77.5,3,2,1,4312,4312,70.5,0,0,0,Sconfitta,Tutankhamon Rotoloni Cigni
13,2,0,0,0,0,85.0,4,0,0,442,442,71.0,0,0,1,Vittoria,Civitanova Squidfishers
14,1,0,0,0,0,69.0,1,0,0,433,433,66.5,0,0,0,Sconfitta,Pro Sud Gradinata
15,3,1,0,0,0,76.0,3,1,0,4312,4312,68.5,0,0,0,Vittoria,S S Condom
16,0,0,0,0,0,83.0,5,2,0,4312,4312,70.0,0,0,0,Vittoria,Club Atletico Luigi Cadorna Milano 1896
17,0,0,0,0,0,69.0,2,1,0,3412,3412,64.0,0,0,0,Sconfitta,Club Atletico De San Martin De Tucuman
18,1,3,0,0,0,69.0,1,2,0,433,433,65.5,0,0,0,Pareggio,The Okan
19,4,1,0,0,0,67.5,1,1,0,4312,4312,66.5,0,0,0,Pareggio,Hyrule's Chickens
20,4,2,0,0,0,69.5,1,1,0,3412,3412,67.5,0,0,0,Sconfitta,Club Atletico De San Martin De Tucuman
21,0,2,0,0,0,77.0,2,0,0,4312,4312,69.0,0,0,0,Vittoria,Tutankhamon Rotoloni Cigni
22,1,0,0,0,0,65.0,1,0,0,4312,4312,62.5,0,0,0,Sconfitta,Hyrule's Chickens
