,Ammonizione,Assist,Assist da fermo,Autorete,Espulsione,Fantapunti,Goal,Goal subito,Malus,Modulo,Modulo applicato,Punti,Rigore parato,Rigore sbagliato,Rigore segnato,Risultato,Squadra
0,1,1,0,0,0,75.5,2,0,0,433,433,69.0,0,0,0,Vittoria,Sbronzi di Riace
1,1,2,0,0,0,65.5,0,1,0,433,433,65.0,0,0,0,Sconfitta,Sturmtruppen
2,2,2,0,0,0,81.0,2,0,0,4231,4231,71.0,0,0,1,Vittoria,FC Electrosila Skingrad
3,0,1,0,0,0,74.0,1,0,0,4231,4231,70.0,0,0,0,Sconfitta,AC Vostra
4,0,0,0,0,0,65.5,1,0,0,442,442,62.5,0,0,0,Sconfitta,Anti FC
5,1,1,0,0,0,75.0,2,0,0,433,433,68.5,0,0,0,Vittoria,Panino
6,2,0,0,0,0,67.5,0,0,0,352,352,65.5,0,0,1,Vittoria,I Porci Comodi
7,1,1,0,0,0,60.5,0,4,1,4312,4312,64.5,0,0,0,Sconfitta,Miracles Alley's Cats FC
8,2,0,0,1,0,63.5,1,0,0,442,442,64.5,0,0,0,Sconfitta,Atletico Agnelli FC
9,0,0,0,0,0,74.5,2,1,0,352,352,69.5,0,0,0,Vittoria,Varese Veterans
10,0,1,0,0,0,74.0,2,1,0,433,433,68.0,0,0,0,Vittoria,Sturmtruppen
11,1,1,0,0,0,70.5,1,0,0,352,352,67.0,0,0,0,Sconfitta,I Porci Comodi
12,3,1,0,0,0,73.5,2,1,0,4231,4231,69.0,0,0,0,Sconfitta,AC Vostra
13,1,0,0,0,0,83.0,5,0,0,442,442,68.5,0,0,0,Vittoria,Atletico Agnelli FC
14,0,2,0,0,0,81.5,2,2,0,442,442,69.5,0,0,2,Pareggio,Varese Veterans
15,1,1,0,0,0,81.5,4,0,0,433,433,69.0,0,0,0,Pareggio,Sbronzi di Riace
16,1,2,0,0,0,71.0,1,2,0,442,442,68.5,0,0,0,Pareggio,Panino
17,2,0,0,0,0,73.5,3,0,1,4231,4231,66.0,0,0,0,Pareggio,FC Electrosila Skingrad
18,1,1,0,0,0,75.5,2,1,3,433,433,68.5,0,0,1,Vittoria,Miracles Alley's Cats FC
19,1,2,0,0,0,66.0,0,1,0,343,343,65.5,0,0,0,Sconfitta,Anti FC
20,1,0,0,0,0,64.0,0,1,0,433,433,65.5,0,0,0,Sconfitta,Sturmtruppen
21,4,0,0,0,0,80.0,2,0,1,433,433,70.5,0,0,2,Vittoria,Miracles Alley's Cats FC
22,2,0,0,0,0,77.0,4,1,1,433,433,67.5,0,0,0,Vittoria,Sbronzi di Riace
23,0,0,0,0,0,65.5,1,3,0,4231,4231,65.5,0,0,0,Sconfitta,AC Vostra
24,1,1,0,0,0,69.5,0,0,0,4231,4231,66.0,0,0,1,Sconfitta,FC Electrosila Skingrad
25,0,2,0,0,0,70.5,1,0,0,343,343,65.5,0,0,0,Vittoria,Anti FC
26,0,2,0,0,0,80.0,0,0,0,352,352,69.0,0,0,3,Vittoria,I Porci Comodi
27,3,2,0,0,0,73.5,2,1,0,442,442,68.0,0,0,0,Sconfitta,Varese Veterans
28,1,0,0,0,0,68.0,1,1,0,433,433,66.5,0,0,0,Pareggio,Atletico Agnelli FC
29,1,1,0,0,0,66.5,1,2,0,442,442,65.0,0,0,0,Pareggio,Panino
30,0,0,0,0,0,68.5,0,1,0,4231,4231,66.5,1,0,0,Vittoria,AC Vostra
31,1,0,1,0,0,59.5,0,1,0,433,433,63.0,0,1,0,Sconfitta,I Porci Comodi
32,0,1,0,0,0,63.0,0,1,0,442,442,63.0,0,0,0,Sconfitta,Varese Veterans
33,1,0,0,0,0,73.0,2,0,0,433,433,67.5,0,0,0,Vittoria,Sturmtruppen
34,1,1,0,0,0,80.0,4,0,0,343,343,67.5,0,0,0,Vittoria,Anti FC
35,1,1,0,0,1,71.0,2,0,0,433,433,65.5,0,0,0,Sconfitta,Atletico Agnelli FC
36,1,2,0,0,0,74.0,1,0,0,433,433,69.5,0,0,0,Vittoria,Panino
37,1,2,0,0,0,73.5,2,2,0,433,433,68.0,0,0,0,Sconfitta,Sbronzi di Riace
38,1,0,0,0,0,52.5,0,2,0,433,433,58.0,0,1,0,Sconfitta,Miracles Alley's Cats FC
39,2,2,1,0,0,84.5,4,2,1,442,442,70.0,0,0,1,Vittoria,FC Electrosila Skingrad
40,2,0,0,0,0,65.5,1,1,0,433,433,64.5,0,0,0,Sconfitta,Sturmtruppen
41,1,1,0,0,0,69.5,2,2,0,4231,4231,65.0,0,0,0,Vittoria,AC Vostra
42,2,0,0,0,0,70.0,1,0,0,433,433,68.0,0,0,0,Vittoria,Sbronzi di Riace
43,1,0,0,0,0,67.0,2,2,0,343,343,63.5,0,0,0,Sconfitta,Anti FC
44,1,1,0,0,0,75.0,1,1,0,433,433,69.5,0,0,1,Vittoria,Varese Veterans
45,0,1,1,0,0,58.5,0,6,0,433,433,62.5,0,0,0,Sconfitta,Miracles Alley's Cats FC
46,1,0,0,0,0,75.5,3,0,0,433,433,67.0,0,0,0,Vittoria,I Porci Comodi
47,0,1,0,0,0,69.0,1,2,0,433,433,67.0,0,0,0,Sconfitta,Panino
48,2,2,0,0,0,63.5,1,1,0,343,343,63.5,0,1,0,Pareggio,Atletico Agnelli FC
49,4,0,0,0,0,62.0,0,4,0,343,343,62.0,0,0,2,Pareggio,FC Electrosila Skingrad
50,1,1,0,0,0,73.0,1,1,0,4231,4231,67.5,0,0,1,Vittoria,AC Vostra
51,1,0,0,0,0,60.5,0,2,0,433,433,63.0,0,0,0,Sconfitta,Varese Veterans
52,1,1,0,0,0,72.0,1,2,0,442,442,67.5,0,0,1,Vittoria,FC Electrosila Skingrad
53,1,0,0,0,0,69.0,1,0,0,433,433,66.5,0,0,0,Sconfitta,Sbronzi di Riace
54,1,0,0,0,0,67.5,2,2,0,343,343,64.0,0,0,0,Sconfitta,Anti FC
55,4,0,0,0,0,70.5,2,1,0,352,352,64.5,0,0,1,Vittoria,I Porci Comodi
56,2,1,0,0,0,68.5,1,2,0,442,442,67.5,0,0,0,Sconfitta,Panino
57,3,0,0,0,0,76.0,3,2,0,433,433,70.5,0,0,0,Vittoria,Sturmtruppen
58,2,0,1,0,0,61.5,0,3,0,433,433,64.5,0,0,0,Pareggio,Miracles Alley's Cats FC
59,0,1,0,1,0,62.5,1,2,0,352,352,66.5,0,1,0,Pareggio,Atletico Agnelli FC
60,0,1,0,0,0,65.5,0,2,0,433,433,66.5,0,0,0,Sconfitta,Sturmtruppen
61,2,1,0,0,1,66.0,1,2,0,343,343,66.0,0,0,0,Vittoria,Anti FC
62,1,0,1,0,1,67.0,0,0,0,433,433,67.5,0,0,0,Pareggio,Sbronzi di Riace
63,2,0,1,0,0,67.5,0,0,0,442,442,67.5,0,0,0,Pareggio,Atletico Agnelli FC
64,0,0,1,0,0,70.0,0,0,0,4231,4231,66.0,0,0,1,Pareggio,AC Vostra
65,1,0,0,0,0,70.5,1,0,0,433,433,68.0,0,0,0,Pareggio,Miracles Alley's Cats FC
66,0,1,0,0,0,71.5,1,0,0,442,442,67.5,0,0,0,Pareggio,Varese Veterans
67,2,0,1,0,0,70.5,1,0,0,433,433,67.5,0,0,0,Pareggio,Panino
68,2,2,0,0,0,66.5,0,0,0,4312,4312,65.5,0,0,0,Sconfitta,I Porci Comodi
69,1,1,0,0,0,72.5,2,0,0,433,433,66.0,0,1,1,Vittoria,FC Electrosila Skingrad
70,3,0,0,0,0,65.5,1,2,0,4312,4312,66.0,0,0,0,Sconfitta,Sbronzi di Riace
71,3,1,0,0,0,72.0,2,1,0,433,433,67.5,0,0,0,Vittoria,Miracles Alley's Cats FC
72,2,1,0,1,0,59.5,1,1,0,343,343,63.5,0,1,0,Sconfitta,FC Electrosila Skingrad
73,0,2,0,0,0,68.0,1,4,0,433,433,67.0,0,0,0,Vittoria,Sturmtruppen
74,1,0,0,0,0,62.5,2,1,0,343,343,58.0,0,0,0,Pareggio,Anti FC
75,0,1,0,0,0,63.0,3,4,0,442,442,57.0,0,0,0,Pareggio,Varese Veterans
76,0,4,0,0,0,72.0,0,1,0,442,442,69.0,0,0,0,Sconfitta,Panino
77,2,0,0,0,0,77.0,3,0,0,4231,4231,69.0,0,0,0,Vittoria,AC Vostra
78,1,0,0,0,0,65.5,1,2,0,442,442,65.0,0,0,0,Sconfitta,Atletico Agnelli FC
79,1,1,0,0,0,73.0,2,0,0,352,352,66.5,0,1,1,Vittoria,I Porci Comodi
80,0,0,0,0,0,67.5,1,1,0,433,433,65.5,0,0,0,Pareggio,Sturmtruppen
81,2,2,0,0,0,69.5,0,1,0,442,442,66.5,0,0,1,Pareggio,Atletico Agnelli FC
82,2,2,1,0,0,71.0,1,2,0,4231,4231,68.0,0,0,0,Sconfitta,AC Vostra
83,0,0,0,0,0,83.0,4,0,1,343,343,71.5,0,0,0,Vittoria,Anti FC
84,3,0,0,0,0,64.0,1,2,0,442,442,64.5,0,0,0,Sconfitta,Varese Veterans
85,2,3,0,0,0,68.0,1,0,0,343,343,63.0,0,0,0,Vittoria,FC Electrosila Skingrad
86,2,0,0,0,0,68.0,2,2,0,433,433,65.0,0,0,0,Sconfitta,Miracles Alley's Cats FC
87,0,2,0,0,0,77.0,3,1,0,352,352,67.0,0,0,0,Vittoria,Panino
88,3,0,0,0,0,63.5,1,0,0,442,442,62.0,0,0,0,Sconfitta,I Porci Comodi
89,2,0,0,0,0,74.5,3,1,1,433,433,68.0,0,0,0,Vittoria,Sbronzi di Riace
90,2,0,0,0,0,74.5,3,2,0,433,433,68.5,0,0,0,Vittoria,Sturmtruppen
91,1,1,0,0,0,60.5,0,0,0,433,433,60.0,0,0,0,Sconfitta,Sbronzi di Riace
92,1,0,0,0,0,63.5,0,0,0,4231,4231,64.0,0,0,0,Pareggio,AC Vostra
93,4,0,0,0,0,63.5,0,1,0,4231,4231,66.5,0,0,0,Pareggio,FC Electrosila Skingrad
94,1,1,0,0,1,65.5,1,1,0,442,442,64.0,0,0,0,Pareggio,Varese Veterans
95,2,0,0,0,0,59.0,0,3,0,442,442,63.0,0,0,0,Pareggio,Atletico Agnelli FC
96,3,1,0,0,0,67.5,1,0,0,352,352,65.0,0,0,0,Sconfitta,Panino
97,1,1,0,0,0,72.0,2,1,1,343,343,67.0,0,0,0,Vittoria,Anti FC
98,1,0,0,0,0,64.0,0,0,0,4312,4312,64.5,0,0,0,Sconfitta,Miracles Alley's Cats FC
99,1,1,0,0,0,73.0,2,2,0,4411,4411,68.5,0,0,0,Vittoria,I Porci Comodi
100,0,0,0,0,0,67.5,1,1,0,433,433,65.5,0,0,0,Pareggio,Sbronzi di Riace
101,1,1,0,0,0,67.5,1,2,0,442,442,66.0,0,0,0,Pareggio,Varese Veterans
102,0,1,1,0,1,68.5,1,0,1,4222,4222,65.0,0,1,1,Vittoria,FC Electrosila Skingrad
103,5,0,0,0,0,61.0,0,1,0,442,442,64.5,0,0,0,Sconfitta,Panino
104,1,1,0,0,0,70.0,1,3,1,343,343,67.0,0,0,1,Vittoria,Anti FC
105,2,2,0,0,0,66.5,1,2,0,433,433,67.5,0,1,0,Sconfitta,Miracles Alley's Cats FC
106,2,1,0,0,0,73.0,2,1,0,352,352,65.0,0,0,1,Sconfitta,I Porci Comodi
107,2,3,0,0,0,78.5,2,0,0,433,433,70.5,0,0,0,Vittoria,Sturmtruppen
108,1,0,1,0,0,75.5,3,0,1,442,442,66.5,0,0,0,Vittoria,Atletico Agnelli FC
109,1,0,0,0,0,69.5,2,1,0,4231,4231,65.0,0,0,0,Sconfitta,AC Vostra
110,1,0,0,0,0,66.0,1,1,0,4231,4231,64.5,0,0,0,Pareggio,AC Vostra
111,1,0,0,0,0,67.0,1,0,0,433,433,64.5,0,0,0,Pareggio,Sbronzi di Riace
112,1,1,0,0,0,65.5,0,0,1,442,442,65.5,0,0,0,Sconfitta,Varese Veterans
113,2,0,0,0,0,70.5,2,1,0,352,352,66.5,0,0,0,Vittoria,I Porci Comodi
114,1,0,0,0,0,73.0,2,0,0,343,343,67.5,0,0,0,Vittoria,Anti FC
115,1,0,0,0,0,68.5,2,3,0,3412,3412,66.0,0,0,0,Sconfitta,FC Electrosila Skingrad
116,2,2,0,0,0,73.5,1,1,0,352,352,70.5,0,0,0,Pareggio,Panino
117,0,2,0,0,0,72.5,1,1,1,442,442,69.0,0,0,0,Pareggio,Atletico Agnelli FC
118,1,0,0,0,0,65.5,1,0,0,433,433,66.0,0,1,0,Sconfitta,Miracles Alley's Cats FC
119,1,1,1,0,0,68.5,1,1,0,433,433,65.0,0,0,0,Vittoria,Sturmtruppen
120,1,0,0,0,0,69.0,1,0,0,433,433,66.5,0,0,0,Vittoria,Sturmtruppen
121,2,1,0,0,0,65.0,0,1,0,442,442,66.0,0,0,0,Sconfitta,Varese Veterans
122,0,0,0,0,0,75.0,2,1,0,4312,4312,70.0,0,0,0,Vittoria,Sbronzi di Riace
123,1,0,0,0,1,71.5,3,1,0,352,352,65.0,0,0,0,Sconfitta,Panino
124,2,1,0,0,0,71.5,2,1,0,4231,4231,66.5,0,0,0,Vittoria,FC Electrosila Skingrad
